epoch,accuracy,loss,mse,precision_4,recall_4,val_accuracy,val_loss,val_mse,val_precision_4,val_recall_4
0,0.7870015501976013,1.3600187301635742,0.17959469556808472,0.8541773557662964,0.8601290583610535,0.5625,1.2353813648223877,0.3383640944957733,0.5333333611488342,1.0
1,0.8688650131225586,0.39819949865341187,0.10165324807167053,0.9058763384819031,0.9189677238464355,0.9375,0.3608936071395874,0.09588306397199631,0.8888888955116272,1.0
2,0.8989647030830383,0.2886856496334076,0.07749247550964355,0.9274770021438599,0.9372903108596802,0.875,0.4645482897758484,0.110488161444664,0.800000011920929,1.0
3,0.9050996899604797,0.26243847608566284,0.07089332491159439,0.9313425421714783,0.9416773915290833,0.6875,0.5167315006256104,0.15941545367240906,0.6153846383094788,1.0
4,0.9179447889328003,0.21323882043361664,0.06097475439310074,0.9411312937736511,0.9489032030105591,0.8125,0.5712774991989136,0.15820002555847168,0.7272727489471436,1.0
5,0.9284892678260803,0.198932945728302,0.05473833903670311,0.9390671849250793,0.9664515852928162,0.9375,0.31901246309280396,0.08445245027542114,0.8888888955116272,1.0
6,0.9311733245849609,0.1830083280801773,0.049784913659095764,0.945514440536499,0.9628387093544006,0.75,0.31859517097473145,0.10868678241968155,1.0,0.5
7,0.9336656332015991,0.17111822962760925,0.04767274111509323,0.9518566131591797,0.9592258334159851,0.75,0.6338249444961548,0.1636209338903427,0.6666666865348816,1.0
8,0.9350076913833618,0.1772235631942749,0.04891620948910713,0.9503311514854431,0.9628387093544006,0.9375,0.2404150515794754,0.06596969068050385,0.8888888955116272,1.0
9,0.9422929286956787,0.1663956642150879,0.04476494714617729,0.9636741280555725,0.9584516286849976,0.5625,1.1823058128356934,0.3568640351295471,0.5333333611488342,1.0
10,0.9399923086166382,0.16032975912094116,0.042985498905181885,0.9590206146240234,0.9602580666542053,0.9375,0.38394683599472046,0.10699747502803802,0.8888888955116272,1.0
11,0.9426763653755188,0.168897345662117,0.044296156615018845,0.9526582360267639,0.9710967540740967,0.625,1.1122156381607056,0.3144327998161316,0.5714285969734192,1.0
12,0.9465107321739197,0.1530252993106842,0.04056234657764435,0.9593765735626221,0.9690322875976562,0.8125,0.514656662940979,0.11908550560474396,0.7272727489471436,1.0
13,0.9488113522529602,0.14769215881824493,0.03973119705915451,0.9602040648460388,0.9713548421859741,0.8125,0.5202096700668335,0.1291169375181198,0.7272727489471436,1.0
